travel_id,airport_origin,destination_airport,purchase_date,travel_date,payment_method,total_price,currency_name,client_id
1,Pattaya Airpark,DEN,2024-05-17 22:47:59,2024-04-09 12:17:17,Visa,$275,Dollar,1
2,Francisco De Orellana Airport,EWR,2024-02-04 21:13:01,2025-09-17 19:57:11,Discover,$260,Dollar,2
3,Presidente João Batista Figueiredo Airport,LAX,2024-05-28 21:52:21,2023-02-13 00:30:19,American Express,$300,Dollar,3
4,West Woodward Airport,LAX,2023-10-24 16:18:50,2025-12-19 05:42:26,Visa,$300,Dollar,4
5,Daugavpils Intrenational Airport,EWR,2023-11-19 17:07:09,2024-07-24 11:02:10,American Express,$260,Dollar,5
6,Ngloram Airport,SEA,2024-02-07 08:18:48,2024-11-24 00:58:03,American Express,$340,Dollar,6
7,Argyle Airport,MCO,2024-04-17 01:34:02,2023-02-20 14:29:35,Visa,$270,Dollar,7
8,Haivaro Airport,JFK,2023-09-14 19:37:34,2025-10-08 17:52:22,Discover,$200,Dollar,8
9,Beluga Airport,MIA,2023-06-07 14:00:58,2025-12-05 04:06:05,American Express,$310,Dollar,9
10,Koyukuk Airport,LAX,2023-03-21 21:12:10,2023-08-26 12:12:01,American Express,$300,Dollar,10
11,Yorketown Airport,IAH,2023-11-07 08:19:55,2024-08-29 23:00:19,Discover,$290,Dollar,11
12,Bowen Airport,JFK,2023-08-24 09:33:03,2025-06-07 03:46:25,Visa,$200,Dollar,12
13,Cotswold Airport,MIA,2024-04-10 16:04:48,2023-06-22 00:06:20,Visa,$310,Dollar,13
14,Nanjing Lukou Airport,DEN,2023-02-27 16:21:09,2024-12-20 09:21:55,American Express,$275,Dollar,14
15,Viracopos International Airport,MIA,2023-07-20 16:54:29,2024-05-18 21:19:37,American Express,$310,Dollar,15
16,Urrao Airport,IAH,2023-03-15 16:30:09,2025-02-20 01:48:38,Discover,$290,Dollar,16
17,Chippewa Valley Regional Airport,MCO,2023-08-16 08:46:09,2024-08-15 04:04:39,Discover,$270,Dollar,17
18,Reykjahlíð Airport,SFO,2024-06-19 08:57:08,2025-12-18 00:33:16,Visa,$325,Dollar,18
19,Nantucket Memorial Airport,SEA,2023-10-27 23:41:48,2023-07-29 14:12:53,MasterCard,$340,Dollar,19
20,Begishevo Airport,IAH,2023-04-15 18:39:41,2025-03-23 19:02:19,Visa,$290,Dollar,20
21,Poitiers-Biard Airport,LAS,2024-03-07 11:44:05,2025-08-07 20:00:57,Visa,$285,Dollar,21
22,Norman Y. Mineta San Jose International Airport,JFK,2023-04-28 13:57:28,2024-06-26 22:08:07,Visa,$200,Dollar,22
23,Fascene Airport,MCO,2024-01-29 06:17:20,2025-08-19 23:32:07,Discover,$270,Dollar,23
24,Schleswig Air Base,JFK,2023-05-28 07:17:51,2025-05-21 06:31:42,MasterCard,$200,Dollar,24
25,Open Bay Airport,CLT,2023-05-05 07:44:27,2023-05-09 13:09:58,Visa,$295,Dollar,25
26,Knox County Regional Airport,MIA,2023-03-27 17:54:13,2023-05-25 23:33:53,American Express,$310,Dollar,26
27,Colatina Airport,PHX,2023-07-15 12:41:36,2024-10-09 13:44:23,American Express,$315,Dollar,27
28,Falcon State Airport,IAH,2023-02-15 20:36:45,2023-07-18 21:43:02,American Express,$290,Dollar,28
29,Yangyang International Airport,MIA,2023-04-27 19:51:01,2023-05-23 12:52:05,Visa,$310,Dollar,29
30,Toccoa Airport - R.G. Letourneau Field,LAS,2023-08-03 21:11:32,2025-08-23 16:12:25,Discover,$285,Dollar,30
31,São Filipe Airport,SFO,2024-01-21 01:10:33,2024-01-26 09:56:52,American Express,$325,Dollar,31
32,Lensk Airport,SEA,2024-02-28 16:01:57,2024-09-19 14:54:18,American Express,$340,Dollar,32
33,Tokoroa Airfield,SEA,2023-12-15 11:44:08,2023-07-02 11:42:37,Visa,$340,Dollar,33
34,Chilas Airport,DEN,2024-01-21 15:31:57,2025-06-27 04:56:13,Discover,$275,Dollar,34
35,Elkedra Airport,MSP,2023-01-28 09:19:54,2023-04-22 17:32:22,MasterCard,$280,Dollar,35
36,Kericho Airport,JFK,2023-09-05 18:58:51,2025-12-06 19:31:38,Discover,$200,Dollar,36
37,Arapiraca Airport,DFW,2023-08-14 17:03:43,2024-01-24 16:35:29,American Express,$350,Dollar,37
38,Jurien Bay Airport,CLT,2023-03-31 14:47:19,2025-02-16 01:10:13,Visa,$295,Dollar,38
39,Tarapoa Airport,MCO,2024-01-12 22:42:53,2023-09-01 17:38:45,MasterCard,$270,Dollar,39
40,Gulgubip Airport,LAS,2023-03-17 15:42:39,2023-06-30 08:13:17,American Express,$285,Dollar,40
41,Tuticorin Airport,SEA,2024-01-22 15:05:01,2025-05-12 18:50:55,MasterCard,$340,Dollar,41
42,Robert F Swinnie Airport,ORD,2023-06-02 01:44:06,2023-07-09 04:47:51,MasterCard,$250,Dollar,42
43,Vero Beach Regional Airport,DEN,2024-05-09 19:12:08,2025-07-24 18:14:37,American Express,$275,Dollar,43
44,Sasstown Airport,DEN,2024-03-13 03:32:21,2024-10-14 15:32:07,MasterCard,$275,Dollar,44
45,Bandeirantes Airport,JFK,2023-07-14 08:06:17,2023-12-09 11:04:50,Visa,$200,Dollar,45
46,El Porvenir Airport,MIA,2023-11-23 21:55:49,2023-05-20 11:59:15,Discover,$310,Dollar,46
47,Kodiak Airport,SFO,2023-12-20 02:49:32,2025-08-18 18:03:07,American Express,$325,Dollar,47
48,Esenboğa International Airport,PHX,2023-08-03 22:39:18,2024-11-14 17:55:33,Discover,$315,Dollar,48
49,Sukhothai Airport,SFO,2024-01-26 22:46:17,2024-04-07 14:14:58,American Express,$325,Dollar,49
50,Hólmavík Airport,PHX,2024-04-28 08:57:35,2023-01-07 22:55:48,MasterCard,$315,Dollar,50
51,Auvergne Airport,MCO,2023-05-27 16:25:23,2024-10-31 12:12:17,Discover,$270,Dollar,51
52,Kangerlussuaq Airport,CLT,2024-06-12 23:28:57,2025-06-21 19:31:10,Discover,$295,Dollar,52
53,Wyk auf Föhr Airport,SFO,2023-05-11 05:28:51,2025-11-27 20:26:33,American Express,$325,Dollar,53
54,Nanchong Airport,LAX,2023-03-18 03:01:08,2023-12-16 06:24:43,MasterCard,$300,Dollar,54
55,Nunukan Airport,DEN,2023-02-23 08:23:37,2025-07-10 20:12:11,Visa,$275,Dollar,55
56,Greenville Downtown Airport,MIA,2023-02-12 10:49:40,2024-02-11 17:18:18,American Express,$310,Dollar,56
57,Einasleigh Airport,EWR,2024-03-21 09:47:45,2024-08-20 14:37:51,Visa,$260,Dollar,57
58,Whale Pass Seaplane Float Harbor Facility,IAH,2024-01-04 20:01:38,2023-07-11 02:08:57,American Express,$290,Dollar,58
59,Dublin Airport,JFK,2023-03-11 03:20:08,2024-12-09 03:23:38,MasterCard,$200,Dollar,59
60,Odense Airport,LAS,2023-02-19 17:53:46,2023-02-01 11:20:00,American Express,$285,Dollar,60
61,Montgomery County Airpark,LAX,2023-05-05 03:19:40,2023-04-16 10:09:38,MasterCard,$300,Dollar,61
62,CFB Cold Lake,JFK,2024-01-19 02:12:15,2025-04-07 12:25:23,MasterCard,$200,Dollar,62
63,Lemwerder Airport,CLT,2023-06-16 12:28:29,2023-03-28 11:13:12,MasterCard,$295,Dollar,63
64,Boundary Bay Airport,LAS,2023-03-30 21:50:23,2024-03-28 22:42:55,Visa,$285,Dollar,64
65,Fazenda Cataco Airport,SEA,2023-12-15 12:10:53,2024-02-09 11:28:39,Visa,$340,Dollar,65
66,Sitka Rocky Gutierrez Airport,CLT,2023-05-21 05:48:28,2024-02-20 07:17:23,Discover,$295,Dollar,66
67,Corozal Municipal Airport,LAS,2023-01-15 19:50:30,2024-12-02 11:16:40,MasterCard,$285,Dollar,67
68,Ioma Airport,JFK,2023-03-08 11:52:09,2023-08-23 22:19:24,MasterCard,$200,Dollar,68
69,Wageningen Airstrip,DEN,2023-12-17 21:15:28,2024-12-23 03:05:32,Discover,$275,Dollar,69
70,Ali-Sabieh Airport,SFO,2024-03-07 22:59:51,2023-04-24 03:05:01,Visa,$325,Dollar,70
71,Buckley Air Force Base,MCO,2023-09-18 16:56:33,2024-01-02 06:53:06,American Express,$270,Dollar,71
72,Batu Licin Airport,LAX,2024-03-22 10:32:50,2024-12-27 22:42:58,MasterCard,$300,Dollar,72
73,Honiara International Airport,LAS,2023-12-21 10:57:34,2023-06-16 16:14:43,American Express,$285,Dollar,73
74,Jammu Airport,LAX,2023-02-26 19:00:01,2023-01-06 19:30:55,American Express,$300,Dollar,74
75,Fort Stockton Pecos County Airport,EWR,2023-08-27 04:12:00,2025-07-24 03:25:27,MasterCard,$260,Dollar,75
76,Roper Bar Airport,SEA,2023-11-06 20:49:21,2023-03-15 21:13:42,Discover,$340,Dollar,76
77,Shenandoah Valley Regional Airport,DEN,2024-01-10 13:46:13,2025-06-27 13:48:12,Visa,$275,Dollar,77
78,Tehachapi Municipal Airport,ORD,2023-01-07 03:24:13,2023-11-11 02:25:52,MasterCard,$250,Dollar,78
79,Panguitch Municipal Airport,DFW,2023-04-08 17:01:08,2025-09-24 21:12:28,MasterCard,$350,Dollar,79
80,Shymkent Airport,LAX,2023-04-20 13:57:29,2024-11-13 22:33:53,MasterCard,$300,Dollar,80
81,Paruma Airport,CLT,2024-06-22 10:26:33,2024-06-04 19:34:09,Discover,$295,Dollar,81
82,Nova Vida Airport,MSP,2023-12-19 13:32:50,2023-04-21 16:10:28,Discover,$280,Dollar,82
83,Renner Field-Goodland Municipal Airport,SEA,2023-05-05 02:07:28,2023-10-21 06:38:26,Visa,$340,Dollar,83
84,Hao Airport,ORD,2024-04-06 06:36:06,2024-02-16 15:19:37,Discover,$250,Dollar,84
85,Mooraberree Airport,LAX,2023-07-15 08:29:59,2024-11-21 22:14:05,Visa,$300,Dollar,85
86,Bulagtai Resort Airport,IAH,2023-04-06 15:11:03,2024-02-19 10:30:20,Discover,$290,Dollar,86
87,Marechal Cunha Machado International Airport,MSP,2023-03-12 02:46:24,2023-03-03 05:06:49,Visa,$280,Dollar,87
88,Saint-Étienne-Bouthéon Airport,MSP,2024-03-23 11:41:35,2023-03-11 09:38:16,Visa,$280,Dollar,88
89,Sampit(Hasan) Airport,MCO,2023-09-25 17:26:25,2024-10-11 02:09:56,Visa,$270,Dollar,89
90,Mogador Airport,LAS,2023-11-27 06:21:41,2024-03-27 02:52:49,American Express,$285,Dollar,90
91,Sipitang Airport,LAS,2023-06-04 00:38:34,2023-10-12 06:46:22,Visa,$285,Dollar,91
92,Chiayi Airport,DFW,2024-04-01 18:50:29,2025-08-21 04:12:11,Visa,$350,Dollar,92
93,Rundu Airport,DFW,2023-11-06 00:03:45,2025-08-11 09:50:49,American Express,$350,Dollar,93
94,Memanbetsu Airport,MIA,2023-07-21 20:22:09,2025-03-22 06:24:14,American Express,$310,Dollar,94
95,Edmond Cané Airport,LAX,2023-11-10 11:06:07,2025-03-11 07:54:21,Discover,$300,Dollar,95
96,Capital City Airport,DEN,2024-04-27 20:59:24,2024-04-03 19:04:40,American Express,$275,Dollar,96
97,Heydar Aliyev International Airport,IAH,2023-12-05 13:32:47,2024-07-27 23:14:57,MasterCard,$290,Dollar,97
98,Tungsten (Cantung) Airport,MIA,2023-10-18 00:20:51,2023-02-09 10:01:47,MasterCard,$310,Dollar,98
99,Wake Island Airfield,LAS,2023-11-30 16:49:12,2023-11-06 17:04:41,Visa,$285,Dollar,99
100,Cambridge Airport,JFK,2024-06-18 02:04:49,2024-05-11 11:28:45,MasterCard,$200,Dollar,100
